category_name,item_id,item_name,price,item_code,barcode,tags,inventory_tags
PASTA DINE IN MENU,3102744,MEATBALL ARRABIATA PASTA,45.0,"","","",""
PINZA DESSERTS,2981597,Nutella Banana,30.0,"","","",""
HOME BAKERY,3126870,Panini Seeded Rye Sour Dough ( 19Cm X 9.5Cm X 2Cm ),3.5,786919103360,-,"",""
PINZA BUNDLES (GREAT FOR SHARING!),2981552,Pinza Bundle For 2,90.0,"","","",""
INDOGUNA PRODUCTION,3129339,PINZA! Plain Base - FRZN ( 12.5cm x 21cm ),3.09,746921221260,"","",""
DUBAI GOLF LLC,3197397,"PINZA! Plain Base - FRZN ( 13"" / 33cm Round )",5.65,"","","",""
B2B ITEMS,3208272,"PINZA! Plain Base - FRZN ( 13"" / 33cm Round )",4.8,746921333260,"","",""
DOLCE,3208273,"PINZA! Plain Base - FRZN ( 13"" / 33cm Round )",4.8,746921333260,"","",""
INDOGUNA DUBAI,3197346,PINZA! Plain Base - FRZN (26CM X 33CM),7.26,"","","",""
PUNZ DINE IN MENU,3122995,Pulled Bbq Chicken Puns,33.0,"","","",""
PUNZ BUNDLES (GREAT FOR SHARING!),2981607,Punz For 2,85.0,"","","",""
SIGNATURES ,2981619,Tuna Jalapeno Puns,35.0,"","",Meaty,""
PUNZ DINE IN MENU,3044261,Avocado Toast ,29.0,"","","",""
MEAT-FREE PINZAS (VEGETARIAN & VEGAN),2981573,Bianca Pesto,45.0,"","",Vegetarian,""
PINZA DINE IN MENU,3044215,Bianca Pesto,41.0,"","","",""
MEATY PINZA,2981566,Bresaola Aglio,55.0,"","",Meaty,""
PINZA DIPS,2981594,Cajun Mayo Dip,5.0,"","",Dips,""
PUNZ DIPS,2981643,Cajun Mayo Dip,5.0,"","",Dips,""
DINE IN COFFEE,3047433,Cappuccino,16.0,"","","",""
PINZA SIDES ,2981584,Chicken Caesar Salad,35.0,"","",Sides & Salads,""
DINE IN SIDES & SALAD,3044283,Chicken Caesar Salad,41.0,"","","",""
PUNZ SIDES & SALADS,2981634,Chicken Tenders (5pcs),30.0,"","",Vegan,""
PINZA DRINKS,2991874,Coke,10.0,"","","",""
PUNZ DRINKS,2981646,Frío Natural Zero Cola,7.0,"","",Drinks,""
INDOGUNA DUBAI,3125575,Frozen Pinza Base   15cm X 25cm,2.95,786985090605,-,B2b Items,""
B2B ITEMS,3125541,Hand Crafted Seeded Rye Sour Dough ( 18cm X 9cm X 5cm ),2.9,786918090500,-,B2b Items,""
KIDS MEALS,2981596,Kids Meals,44.0,"","","",""
ALL DAY PUNS,3123012,Lemongrass Mushroom Banh Mi,20.0,"","","",""
INDOGUNA PRODUCTION,3125567,Masterpiece Artisanal Crisp Flatbread With Tomato Base And Mozzarella   Small,2.5,627871899261,-,B2b Items,""
PINZA DESSERTS,2981598,Nutella Solo,29.0,"","","",""
PINZA BUNDLES (GREAT FOR SHARING!),3042599,Pinza Bundle For 3,120.0,"","","",""
LEGENDARY CLASSICS ,2981569,"Pinzafied Margherita 13""",56.0,"","",Vegetarian,""
DOLCE,3165951,PINZA! Plain Base - FRZN ( 17cm x 28cm ),3.5,746921728260,"","",""
DUBAI GOLF LLC,3125531,Pinza! Plain Base   Frzn ( 26cm X 33cm ),7.26,746922633260,-,B2b Items,""
PUNZ BUNDLES (GREAT FOR SHARING!),2981608,Punz For 3,120.0,"","","",""
SIGNATURES ,2981620,Smoked Turkey Puns,39.0,"","",Meaty,""
MEAT-FREE PINZAS (VEGETARIAN & VEGAN),2981574,Bianca Pesto Prima,50.0,"","",Vegetarian,""
PUNZ DINE IN MENU,3044254,Brisket Banh Mi,39.0,"","","",""
SIGNATURES ,2981622,Brisket Banh Mi,39.0,"","",Meaty,""
PINZA DINE IN MENU,3044228,Chicken Al Pastor,43.0,"","","",""
MEATY PINZA,2981565,Chicken Bacon Ranch,60.0,"","",Meaty,""
LEGENDARY CLASSICS ,2981572,"Chili Truffled Garlic 13""",52.0,"","",Vegetarian,""
DINE IN SIDES & SALAD,3076154,Crispy Chicken Tenders (5pcs),25.0,"","","",""
PINZA SIDES ,2981583,Crispy Chicken Tenders (5pcs),30.0,"","",Sides & Salads,""
DINE IN COFFEE,3047421,Double Espresso,12.0,"","","",""
PUNZ SIDES & SALADS,2981637,French Fries,18.0,"","",Sides & Salads,""
PINZA DRINKS,2981600,Frío Natural Zero Cola,7.0,"","",Drinks,""
INDOGUNA DUBAI,3125554,Hand Crafted Seeded Rye Sour Dough ( 18cm X 9cm X 5cm ),2.65,786918090500,-,B2b Items,""
B2B ITEMS,3125497,Hand Crafted Seeded Rye Sour Dough ( 18cm X 9cm X 5cm ),2.85,786918090500,-,B2b Items,""
PINZA DIPS,2981593,Harrisa Mayo Dip,5.0,"","",Dips,""
PUNZ DIPS,2981642,Harrisa Mayo Dip,5.0,"","",Dips,""
PINZA DINE IN MENU,3065694,Kids Meals AED 39,39.0,"","","",""
ALL DAY PUNS,3123011,Marinated Lemongrass Chicken Banh Mi,35.0,"","","",""
PINZA BUNDLES (GREAT FOR SHARING!),2981554,Pinza Bundle For 4,175.0,"","","",""
DOLCE,3125538,"Pinza! Plain Base   Frzn ( 12"" / 30cm Round )",4.61,746921230260,-,B2b Items,""
DUBAI GOLF LLC,3125528,"Pinza! Plain Base   Frzn ( 8"" / 20cm Round )",3.42,746920820260,-,B2b Items,""
PUNZ BUNDLES (GREAT FOR SHARING!),2981609,Punz For 4,160.0,"","","",""
PUNZ DRINKS,2981645,Sparkling Water,14.0,"","",Drinks,""
LEGENDARY CLASSICS ,2981564,"Chicken Al Pastor 13""",52.0,"","",Meaty,""
PINZA DINE IN MENU,3044226,Chicken Bacon Ranch,49.0,"","","",""
PUNZ DINE IN MENU,3044251,Chicken Bacon Ranch Punz,35.0,"","","",""
MEAT-FREE PINZAS (VEGETARIAN & VEGAN),2981581,El Padrino (Ve),40.0,"","",Vegan,""
DINE IN COFFEE,3047441,Flat White,16.0,"","","",""
PINZA SIDES ,2981588,French Fries,15.0,"","",Sides & Salads,""
DINE IN SIDES & SALAD,3076288,French Fries,18.0,"","","",""
PUNZ SIDES & SALADS,3078229,FriesTruffled Burrata Fries,18.0,"","","",""
B2B ITEMS,3125534,Hand Crafted Seeded Rye Sour Dough ( 18cm X 9cm X 5cm ),2.85,786918090500,-,B2b Items,""
PUNZ DIPS,2981640,Honey Mustard Dip,5.0,"","",Dips,""
PINZA DIPS,2981591,Honey Mustard Dip,5.0,"","",Dips,""
SIGNATURES ,2981614,Lemongrass Chicken Banh Mi,35.0,"","",Meaty,""
MEATY PINZA,2981567,Montouri,55.0,"","",Meaty,""
INDOGUNA DUBAI,3125552,"Pinza! Plain Base   Frzn ( 11"" / 28cm Round )",4.0,746921128260,-,B2b Items,""
PINZA DRINKS,2981599,Sparkling Water,14.0,"","",Drinks,""
ALL DAY PUNS,3123010,Vegan Spicy Sausage Banh Mi,20.0,"","","",""
LEGENDARY CLASSICS ,3075503,"Veggielicious 13""",50.0,"","","",""
SIGNATURES ,2981615,Chicken Bacon Ranch Punz,39.0,"","",Meaty,""
PINZA DINE IN MENU,3044217,Chili Truffled Garlic,39.0,"","","",""
PUNZ DINE IN MENU,3044257,Eggs N Bacon Puns,33.0,"","","",""
MEAT-FREE PINZAS (VEGETARIAN & VEGAN),2981578,Gorgonzolaa,55.0,"","",Vegetarian,""
B2B ITEMS,3125521,Hand Crafted Seeded Rye Sour Dough ( 18cm X 9cm X 5cm ),2.9,786918090500,-,B2b Items,""
DINE IN SIDES & SALAD,3047408,Kale Bomb,39.0,"","","",""
PINZA DIPS,2981595,Ketchup Dip,5.0,"","",Dips,""
PUNZ DIPS,2981644,Ketchup Dip,5.0,"","",Dips,""
DINE IN COFFEE,3047435,Latte,16.0,"","","",""
PUNZ SIDES & SALADS,2981635,Messy Potatoes Bacon Cheddar Ranch,29.0,"","",Sides & Salads,""
PINZA SIDES ,2981586,Messy Potatoes! Bacon Cheddar Ranch,30.0,"","",Sides & Salads,""
INDOGUNA DUBAI,3125553,"Pinza! Plain Base   Frzn ( 13"" / 33cm Round )",4.8,746921333260,-,B2b Items,""
ALL DAY PUNS,3123009,Red Chili Shrimps Banh Mi,20.0,"","","",""
MEATY PINZA,2981560,Supremo,60.0,"","",Meaty,""
LEGENDARY CLASSICS ,2981571,"Truffle Goodness 13""",52.0,"","",Vegetarian,""
ALL DAY PUNS,2981625,Al Pastor Chicken Punz,40.0,"","",Vegetarian,""
SIGNATURES ,2981621,Chicken Parm Puns,38.0,"","",Meaty,""
PINZA DINE IN MENU,3043571,Classic Margherita,39.0,"","","",""
LEGENDARY CLASSICS ,2981579,El Vegetariano (Ve),39.0,"","",Vegan,""
B2B ITEMS,3125516,Hand Crafted Seeded Rye Sour Dough ( 18cm X 9cm X 5cm ),2.85,786918090500,-,B2b Items,""
PUNZ SIDES & SALADS,2981636,Messy Potatoes! Spicy Harissa,30.0,"","",Sides & Salads,""
PINZA SIDES ,2981587,Messy Potatoes! Spicy Harissa,29.0,"","",Sides & Salads,""
DINE IN SIDES & SALAD,3047411,Mykonos Bowl,39.0,"","","",""
MEAT-FREE PINZAS (VEGETARIAN & VEGAN),2981580,Omv   Oh My Vegan (Ve),55.0,"","",Vegan,""
PUNZ DIPS,2981639,Pinza House Sauce Dip,5.0,"","",Dips,""
PINZA DIPS,2981590,Pinza House Sauce Dip,5.0,"","",Dips,""
INDOGUNA DUBAI,3125561,Pinza! Plain Base   Frzn ( 17cm X 28cm ),3.13,746921728260,-,B2b Items,""
DINE IN COFFEE,3047419,Single Espresso,10.0,"","","",""
MEATY PINZA,2981568,The Scampi,60.0,"","",Meaty,""
PUNZ DINE IN MENU,3044259,Tuna Jalapeno Punz,33.0,"","","",""
ALL DAY PUNS,2981628,Cajun Chicken Puns,40.0,"","",Vegetarian,""
PUNZ DINE IN MENU,3044260,Eggs On Toast ,29.0,"","","",""
PINZA DINE IN MENU,3043599,El Vegetariano (Ve),45.0,"","","",""
B2B ITEMS,3125511,Hand Crafted Seeded Rye Sour Dough ( 18cm X 9cm X 5cm ),2.65,786918090500,-,B2b Items,""
LEGENDARY CLASSICS ,2981556,"Pepperoni 13""",50.0,"","",Meaty,""
INDOGUNA DUBAI,3125560,Pinza! Plain Base   Frzn ( 21cm X 26cm ),3.81,746922126260,-,B2b Items,""
SIGNATURES ,2981618,Pulled Harissa Puns,35.0,"","",Meaty,""
DINE IN SIDES & SALAD,3047410,Ragin Cajun,39.0,"","","",""
PUNZ DIPS,2981638,Ranch Dip,5.0,"","",Dips,""
PINZA DIPS,2981589,Ranch Dip,5.0,"","",Dips,""
MEAT-FREE PINZAS (VEGETARIAN & VEGAN),2981576,Shrooms,45.0,"","",Vegetarian,""
DINE IN COFFEE,3047444,Tea,10.0,"","","",""
PUNZ SIDES & SALADS,2981632,Tomato Basil Soup,23.0,"","",Vegetarian,""
ALL DAY PUNS,3044230,Cajun Chicken Puns,33.0,"","","",""
PUNZ DINE IN MENU,3044253,French Dip Puns,39.0,"","","",""
SIGNATURES ,2981623,Milanese Puns,35.0,"","",Meaty,""
PINZA DINE IN MENU,3044225,Montouri,45.0,"","","",""
B2B ITEMS,3125547,"Pinza! Classic Margherita   Frzn ( 11"" / 28cm Round )",15.6,746921128261,-,B2b Items,""
INDOGUNA DUBAI,3125558,"Pinza! Plain Base   Frzn ( 8"" / 20cm Round )",3.0,746920820260,-,B2b Items,""
LEGENDARY CLASSICS ,2981563,"Tandoori Chicken 13""",50.0,"","",Meaty,""
MEAT-FREE PINZAS (VEGETARIAN & VEGAN),2981577,The Garden Pizza,50.0,"","",Vegetarian,""
DINE IN SIDES & SALAD,3044264,Tomato Basil Soup,23.0,"","","",""
ALL DAY PUNS,2981613,Chicken Guac Puns,40.0,"","",Meaty,""
PUNZ DINE IN MENU,3044263,Fresh Halloumi ,29.0,"","","",""
SIGNATURES ,2981627,Meatball Parm Puns,39.0,"","",Vegetarian,""
PINZA DINE IN MENU,3044220, Pepperoni,45.0,"","","",""
B2B ITEMS,3125517,"Pinza! Classic Margherita   Frzn ( 11"" / 28cm Round )",15.6,746921128261,-,B2b Items,""
LEGENDARY CLASSICS ,2981557,"Spicy Salami 13""",52.0,"","",Meaty,""
DINE IN SIDES & SALAD,3044265,Tropi Salmon Bowl ,41.0,"","","",""
MEAT-FREE PINZAS (VEGETARIAN & VEGAN),2981582,Veggielicious Pizza,50.0,"","",Vegetarian,""
ALL DAY PUNS,2981616,French Dip Puns,45.0,"","",Meaty,""
PUNZ DINE IN MENU,3044245,Lemongrass Chicken Banh Mi,33.0,"","","",""
EMARAT,3125509,Panini Seeded Rye Sour Dough ( 19cm X 9.5cm X 2cm ),3.2,786919103360,-,B2b Items,""
B2B ITEMS,3125569,"Pinza! Classic Margherita   Frzn ( 11"" / 28cm Round )",15.6,746921128261,-,B2b Items,""
PINZA DINE IN MENU,3043597,Pinzafied Margherita,45.0,"","","",""
SIGNATURES ,2981617,Steak & Onion Puns,39.0,"","",Meaty,""
LEGENDARY CLASSICS ,2981559,"The Hangover 13""",52.0,"","",Meaty,""
ALL DAY PUNS,2981626,Guac N' Roll Puns,33.0,"","",Vegetarian,""
PUNZ DINE IN MENU,3044250,Milanese Puns,33.0,"","","",""
B2B ITEMS,3125549,Pinza! Classic Margherita   Frzn ( 12cm Square ),3.25,746921226771,-,B2b Items,""
PINZA DINE IN MENU,3044221,Spicy Salami,49.0,"","","",""
LEGENDARY CLASSICS ,2981561,"The Smashburger 13""",52.0,"","",Meaty,""
ALL DAY PUNS,2981629,I'm Trufflin' Puns,42.0,"","",Vegetarian,""
B2B ITEMS,3125550,Pinza! Classic Margherita   Frzn ( 12cm Square ),3.25,746921226771,-,B2b Items,""
PUNZ DINE IN MENU,3044252,Pulled Bbq Beef Puns,39.0,"","","",""
PINZA DINE IN MENU,3044227,Tandoori Chicken,43.0,"","","",""
B2B ITEMS,3125514,Pinza! Classic Margherita   Frzn ( 13cm X 21cm ),4.5,746922113261,-,B2b Items,""
ALL DAY PUNS,2981631,Pulled Bbq Beef Puns,45.0,"","",Vegetarian,""
PUNZ DINE IN MENU,3044249,Pulled Harissa Puns,33.0,"","","",""
PINZA DINE IN MENU,3044213,The Garden Pizza,39.0,"","","",""
B2B ITEMS,3125515,Pinza! Classic Margherita   Frzn ( 21cm X 26cm ),5.8,746922126261,-,B2b Items,""
ALL DAY PUNS,2981630,Pulled Bbq Chicken Puns,40.0,"","",Vegetarian,""
PUNZ DINE IN MENU,3044256,Smoked Turkey Puns,35.0,"","","",""
PINZA DINE IN MENU,3044222,The Hangover,49.0,"","","",""
PUNZ DINE IN MENU,3044255,Cajun Chicken Puns,33.0,"","","",""
B2B ITEMS,3125500,"Pinza! Classic Margherita   Frzn ( 6"" Round )",5.9,746920615261,-,B2b Items,""
PINZA DINE IN MENU,3044223,The Smashburger,49.0,"","","",""
ALL DAY PUNS,2981624,Zesty Bresaola Puns,40.0,"","",Vegetarian,""
PUNZ DINE IN MENU,3044262,Chicken Guac Puns,33.0,"","","",""
B2B ITEMS,3125563,"Pinza! Classic Margherita   Frzn ( 8"" / 20cm Round )",7.0,746920820261,-,B2b Items,""
PINZA DINE IN MENU,3044218,Truffle Goodness,39.0,"","","",""
B2B ITEMS,3125507,Pinza! Large /Core Plain Base 13 Inch,7.62,23405,-,B2b Items,""
PINZA DINE IN MENU,3044214,Veggielicious Pizza,39.0,"","","",""
B2B ITEMS,3125501,"Pinza! Pepperoni   Frzn ( 6"" Round )",7.2,746920615262,-,B2b Items,""
B2B ITEMS,3125564,"Pinza! Pepperoni   Frzn ( 8"" / 20cm Round )",8.77,746920820262,-,B2b Items,""
B2B ITEMS,3125574,Pinza! Plain Base [24cm X 33cm] Large,5.81,786985090602,-,B2b Items,""
B2B ITEMS,3125557,"Pinza! Plain Base   Frzn ( 10"" / 25cm Round )",3.81,746921025260,-,B2b Items,""
B2B ITEMS,3125543,"Pinza! Plain Base   Frzn ( 10"" / 25cm Round )",3.81,746921025260,-,B2b Items,""
B2B ITEMS,3125556,Pinza! Plain Base   Frzn ( 10cm X 15cm ),1.4,746921015260,-,B2b Items,""
B2B ITEMS,3125532,"Pinza! Plain Base   Frzn ( 11"" / 28cm Round )",4.25,746921128260,-,B2b Items,""
B2B ITEMS,3125512,Pinza! Plain Base   Frzn ( 11cm X 13cm ),1.82,746921113260,-,B2b Items,""
B2B ITEMS,3125508,Pinza! Plain Base   Frzn ( 11cm X 13cm ),1.82,746921113260,-,B2b Items,""
B2B ITEMS,3125566,Pinza! Plain Base   Frzn ( 11cm X 13cm ),1.82,746921113260,-,B2b Items,""
B2B ITEMS,3125559,"Pinza! Plain Base   Frzn ( 12"" / 30cm Round )",4.61,746921230260,-,B2b Items,""
RSG,3125499,"Pinza! Plain Base   Frzn ( 12"" / 30cm Round )",5.0,746921230260,-,B2b Items,""
B2B ITEMS,3125539,Pinza! Plain Base   Frzn ( 12 Cm Round ),1.55,746921226730,-,B2b Items,""
B2B ITEMS,3125526,Pinza! Plain Base   Frzn ( 12 Cm Round ),1.55,746921226730,-,B2b Items,""
B2B ITEMS,3125568,Pinza! Plain Base   Frzn ( 12 Cm Round ),1.55,746921226730,-,B2b Items,""
B2B ITEMS,3125555,Pinza! Plain Base   Frzn ( 12 Cm Round ),1.55,746921226730,-,B2b Items,""
B2B ITEMS,3125513,Pinza! Plain Base   Frzn ( 12 Cm Round ),1.55,746921226730,-,B2b Items,""
B2B ITEMS,3125535,Pinza! Plain Base   Frzn ( 12 Cm Round ),1.55,746921226730,-,B2b Items,""
B2B ITEMS,3125548,"Pinza! Plain Base   Frzn ( 13"" / 33cm Round )",5.65,746921333260,-,B2b Items,""
B2B ITEMS,3125536,"Pinza! Plain Base   Frzn ( 13"" / 33cm Round )",6.22,746921333260,-,B2b Items,""
B2B ITEMS,3125533,"Pinza! Plain Base   Frzn ( 13"" / 33cm Round )",5.65,746921333260,-,B2b Items,""
B2B ITEMS,3125506,"Pinza! Plain Base   Frzn ( 13"" / 33cm Round )",5.65,746921333260,-,B2b Items,""
B2B ITEMS,3125576,"Pinza! Plain Base   Frzn ( 13"" / 33cm Round )",4.61,746921333260,-,B2b Items,""
B2B ITEMS,3125520,"Pinza! Plain Base   Frzn ( 13"" / 33cm Round )",5.65,746921333260,-,B2b Items,""
B2B ITEMS,3125523,"Pinza! Plain Base   Frzn ( 13"" / 33cm Round )",5.65,746921333260,-,B2b Items,""
B2B ITEMS,3125565,Pinza! Plain Base   Frzn ( 13cm X 21cm ),3.3,746922113260,-,B2b Items,""
B2B ITEMS,3125545,Pinza! Plain Base   Frzn ( 13cm X 21cm ),3.5,746922113260,-,B2b Items,""
Slice,3125530,Pinza! Plain Base   Frzn ( 13cm X 21cm ),3.3,746922113260,-,B2b Items,""
B2B ITEMS,3125510,Pinza! Plain Base   Frzn ( 13cm X 21cm ),3.3,746922113260,-,B2b Items,""
B2B ITEMS,3125570,Pinza! Plain Base   Frzn ( 18cm X 9cm ),1.22,746921899260,-,B2b Items,""
B2B ITEMS,3125529,Pinza! Plain Base   Frzn ( 21cm X 26cm ),4.25,746922126260,-,B2b Items,""
B2B ITEMS,3125522,Pinza! Plain Base   Frzn ( 21cm X 26cm ),4.25,746922126260,-,B2b Items,""
B2B ITEMS,3125519,Pinza! Plain Base   Frzn ( 21cm X 26cm ),4.25,746922126260,-,B2b Items,""
B2B ITEMS,3125518,Pinza! Plain Base   Frzn ( 21cm X 26cm ),4.25,746922126260,-,B2b Items,""
B2B ITEMS,3125505,Pinza! Plain Base   Frzn ( 21cm X 26cm ),4.25,746922126260,-,B2b Items,""
B2B ITEMS,3125573,Pinza! Plain Base   Frzn ( 26cm X 33cm ),5.81,746922633260,-,B2b Items,""
B2B ITEMS,3125562,Pinza! Plain Base   Frzn ( 26cm X 33cm ),7.26,746922633260,-,B2b Items,""
B2B ITEMS,3125546,Pinza! Plain Base   Frzn ( 26cm X 33cm ),7.62,746922633260,-,B2b Items,""
B2B ITEMS,3125540,"Pinza! Plain Base   Frzn ( 6"" / 15.25cm Round )",4.9,746920626260,-,B2b Items,""
B2B ITEMS,3125498,"Pinza! Plain Base   Frzn ( 6"" / 15.25cm Round )",3.12,746920626260,-,B2b Items,""
RSG,3125524,"Pinza! Plain Base   Frzn ( 6"" / 15.25cm Round )",3.12,746920626260,-,B2b Items,""
B2B ITEMS,3125551,"Pinza! Plain Base   Frzn ( 7"" / 18cm Round )",3.0,746920718260,-,B2b Items,""
B2B ITEMS,3125527,"Pinza! Plain Base   Frzn ( 7"" / 18cm Round )",3.61,746920718260,-,B2b Items,""
B2B ITEMS,3125544,"Pinza! Plain Base   Frzn ( 7"" / 18cm Round )",3.0,746920718260,-,B2b Items,""
B2B ITEMS,3125537,"Pinza! Plain Base   Frzn ( 8"" / 20cm Round )",3.76,746920820260,-,B2b Items,""
B2B ITEMS,3125542,"Pinza! Plain Base   Frzn ( 8"" / 20cm Round )",3.0,746920820260,-,B2b Items,""
B2B ITEMS,3125571,"Pinza! Plain Base   Frzn ( 8"" / 20cm Round )",3.762,746920820260,-,B2b Items,""
B2B ITEMS,3125525,"Pinza! Plain Base   Frzn ( 8"" / 20cm Round )",3.42,746920820260,-,B2b Items,""
FOUR SEASON,3125572,"Pinza! Plain Base   Frzn ( 6"" / 15.25cm Round )",3.432,746920626260,-,B2b Items,""
B2B ITEMS,3125503,"Pinza! Shawarma   Frzn ( 6"" Round )",7.5,746920615265,-,B2b Items,""
B2B ITEMS,3125502,"Pinza! Tandoori Chicken   Frzn ( 6"" Round )",7.5,746920615263,-,B2b Items,""
EMARAT,3125504,Hand Crafted Seeded Rye Sour Dough ( 18cm X 9cm X 5cm ),2.9,786918090500,-,B2b Items,""
